BinCenter,BinContent
-49.4825,6
-48.4475,1
-47.4125,3
-46.3775,6
-45.3425,4
-44.3075,2
-43.2725,2
-42.2375,5
-41.2025,4
-40.1675,4
-39.1325,0
-38.0975,2
-37.0625,5
-36.0275,6
-34.9925,5
-33.9575,3
-32.9225,1
-31.8875,0
-30.8525,2
-29.8175,4
-28.7825,4
-27.7475,1
-26.7125,4
-25.6775,4
-24.6425,6
-23.6075,8
-22.5725,3
-21.5375,4
-20.5025,3
-19.4675,2
-18.4325,3
-17.3975,3
-16.3625,1
-15.3275,2
-14.2925,4
-13.2575,2
-12.2225,3
-11.1875,7
-10.1525,5
-9.1175,10
-8.0825,56
-7.0475,206
-6.0125,818
-4.9775,2571
-3.9425,6786
-2.9075,11989
-1.8725,16027
-0.8375,18710
0.1975,22120
1.2325,24726
2.2675,26789
3.3025,26748
4.3375,26876
5.3725,26370
6.4075,25492
7.4425,24349
8.4775,22627
9.5125,21479
10.5475,20265
11.5825,18726
12.6175,17495
13.6525,16419
14.6875,15518
15.7225,14012
16.7575,13207
17.7925,12223
18.8275,11656
19.8625,10689
20.8975,9807
21.9325,9246
22.9675,8573
24.0025,8026
25.0375,7297
26.0725,6872
27.1075,6124
28.1425,5856
29.1775,5293
30.2125,5023
31.2475,4592
32.2825,4267
33.3175,4039
34.3525,3718
35.3875,3381
36.4225,3092
37.4575,2889
38.4925,2634
39.5275,2494
40.5625,2311
41.5975,2178
42.6325,2055
43.6675,1896
44.7025,1675
45.7375,1682
46.7725,1495
47.8075,1413
48.8425,1305
49.8775,1265
50.9125,1182
51.9475,1108
52.9825,1020
54.0175,967
55.0525,870
56.0875,817
57.1225,809
58.1575,741
59.1925,691
60.2275,622
61.2625,584
62.2975,570
63.3325,558
64.3675,509
65.4025,441
66.4375,472
67.4725,467
68.5075,393
69.5425,364
70.5775,360
71.6125,306
72.6475,330
73.6825,328
74.7175,282
75.7525,292
76.7875,254
77.8225,277
78.8575,232
79.8925,233
80.9275,235
81.9625,216
82.9975,215
84.0325,174
85.0675,176
86.1025,174
87.1375,167
88.1725,167
89.2075,144
90.2425,161
91.2775,135
92.3125,151
93.3475,132
94.3825,125
95.4175,136
96.4525,146
97.4875,135
98.5225,121
99.5575,128
100.592,117
101.627,106
102.662,107
103.697,106
104.732,109
105.767,104
106.802,93
107.837,86
108.872,84
109.907,91
110.942,82
111.977,85
113.012,92
114.047,84
115.082,84
116.117,73
117.152,72
118.187,61
119.222,67
120.257,69
121.292,68
122.327,71
123.362,69
124.397,69
125.432,63
126.467,43
127.502,65
128.537,48
129.572,48
130.607,56
131.643,60
132.678,60
133.713,55
134.748,43
135.782,49
136.817,60
137.852,45
138.887,46
139.922,48
140.958,49
141.993,49
143.028,35
144.062,44
145.097,46
146.132,35
147.167,40
148.202,41
149.237,43
150.273,46
151.308,50
152.343,43
153.377,36
154.412,39
155.447,17
156.482,34
157.517,42
158.553,29
159.588,34
160.623,37
161.657,36
162.692,18
163.727,41
164.762,16
165.797,25
166.832,32
167.868,30
168.903,26
169.938,34
170.972,34
172.007,35
173.042,27
174.077,28
175.112,18
176.148,21
177.183,34
178.218,25
179.252,22
180.287,25
181.322,13
182.357,33
183.392,31
184.427,30
185.463,24
186.498,23
187.532,26
188.567,9
189.602,21
190.637,15
191.672,25
192.707,31
193.743,26
194.778,22
195.812,28
196.847,18
197.882,25
198.917,31
199.952,30
200.987,21
202.022,19
203.058,27
204.093,20
205.127,19
206.162,15
207.198,14
208.232,17
209.268,12
210.302,17
211.338,24
212.372,16
213.407,15
214.442,24
215.477,27
216.513,21
217.547,18
218.583,23
219.617,15
220.653,14
221.687,22
222.722,15
223.757,19
224.792,14
225.828,18
226.862,13
227.898,17
228.932,17
229.968,19
231.002,20
232.037,15
233.072,13
234.107,19
235.143,20
236.177,13
237.213,14
238.247,15
239.282,17
240.317,19
241.352,14
242.388,19
243.422,19
244.458,14
245.492,14
246.528,20
247.562,17
248.597,7
249.632,17
250.667,20
