BinCenter,BinContent
-49.4825,6
-48.4475,10
-47.4125,5
-46.3775,10
-45.3425,11
-44.3075,7
-43.2725,6
-42.2375,6
-41.2025,6
-40.1675,7
-39.1325,6
-38.0975,5
-37.0625,7
-36.0275,4
-34.9925,3
-33.9575,7
-32.9225,9
-31.8875,7
-30.8525,4
-29.8175,15
-28.7825,7
-27.7475,6
-26.7125,7
-25.6775,9
-24.6425,7
-23.6075,4
-22.5725,9
-21.5375,5
-20.5025,8
-19.4675,4
-18.4325,4
-17.3975,4
-16.3625,7
-15.3275,3
-14.2925,3
-13.2575,7
-12.2225,5
-11.1875,5
-10.1525,8
-9.1175,4
-8.0825,9
-7.0475,10
-6.0125,10
-4.9775,13
-3.9425,49
-2.9075,215
-1.8725,944
-0.8375,4723
0.1975,15971
1.2325,25478
2.2675,39969
3.3025,57215
4.3375,67358
5.3725,66510
6.4075,61384
7.4425,53941
8.4775,46106
9.5125,39017
10.5475,33018
11.5825,28101
12.6175,23388
13.6525,19116
14.6875,15844
15.7225,13388
16.7575,11030
17.7925,9403
18.8275,8256
19.8625,7589
20.8975,6793
21.9325,6331
22.9675,5845
24.0025,5156
25.0375,4493
26.0725,4093
27.1075,3660
28.1425,3152
29.1775,2863
30.2125,2586
31.2475,2399
32.2825,2324
33.3175,2292
34.3525,2267
35.3875,2010
36.4225,1828
37.4575,1636
38.4925,1317
39.5275,1193
40.5625,1218
41.5975,1224
42.6325,1212
43.6675,1185
44.7025,1037
45.7375,1035
46.7725,861
47.8075,787
48.8425,760
49.8775,760
50.9125,762
51.9475,763
52.9825,732
54.0175,673
55.0525,642
56.0875,581
57.1225,551
58.1575,564
59.1925,536
60.2275,532
61.2625,465
62.2975,434
63.3325,466
64.3675,453
65.4025,441
66.4375,410
67.4725,362
68.5075,382
69.5425,364
70.5775,326
71.6125,317
72.6475,300
73.6825,314
74.7175,288
75.7525,304
76.7875,273
77.8225,231
78.8575,246
79.8925,219
80.9275,217
81.9625,215
82.9975,227
84.0325,227
85.0675,216
