#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 3000 Hz
#Steps: 2001
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace |Z| (Ohm)	Trace Rs (Ohm)	Trace Xs (Ohm)
1000	-89.44643484050015	-89.47119705201025	25491.29543156258	235.2648121078933	-25490.20975291077
1000.549457040582	-89.4072629456075	-89.43203876288737	25494.94863282285	252.7220249899909	-25493.69603192838
1001.099215984204	-89.445600031821	-89.47038946234642	25480.68518814105	235.5260252724537	-25479.5966441498
1001.649276996748	-89.39691015564649	-89.42171320689734	25416.28529090942	256.522429691042	-25414.99073838045
1002.199640244188	-89.39020224492741	-89.4150189243877	25436.17479969257	259.6949113803401	-25434.84906567205
1002.750305892589	-89.39700470192135	-89.42183501707918	25430.17856801184	256.6085907549773	-25428.88385344743
1003.301274108108	-89.42342892118288	-89.44827287953046	25373.07242664562	244.3250787589018	-25371.89605890135
1003.852545056992	-89.4199564799295	-89.44481408896323	25365.13562324411	245.7798057464225	-25363.94483262914
1004.40411890558	-89.38525547847593	-89.41012674569623	25337.57134919481	260.8515281858436	-25336.22857403566
1004.955995820303	-89.4338340879447	-89.45871902085617	25330.91973574423	239.3010655420334	-25329.78937256974
1005.508175967681	-89.42062575698439	-89.44552436309573	25297.88504478612	244.8145761822548	-25296.70044813161
1006.06065951433	-89.40666059264755	-89.4315728794716	25265.55106000464	250.6535205721677	-25264.30769244086
1006.613446626953	-89.34476078491107	-89.36968675996479	25246.04089406485	277.7271380192391	-25244.51323479228
1007.166537472347	-89.43034297183316	-89.45528264263764	25236.09849942341	239.9187849774263	-25234.95802352791
1007.7199322174	-89.41528643928339	-89.44023981336385	25219.51548691566	246.3821288358752	-25218.31194274052
1008.273631029092	-89.38960864902188	-89.41457573390765	25203.01221266008	257.5093371567419	-25201.69663996395
1008.827634074494	-89.42091034095951	-89.44589114418413	25211.62407822755	243.8184195281341	-25210.44508215121
1009.38194152077	-89.34314819199032	-89.36814272109142	25149.23736352895	277.3399145309073	-25147.70809713936
1009.936553535176	-89.34518449461746	-89.37019275713679	25160.099350671	276.5595272460608	-25158.57933515971
1010.491470285057	-89.42129226337794	-89.44631426686144	25125.36119132663	242.7986428834072	-25124.18802297174
1011.046691937854	-89.42740289699087	-89.4524386489886	25103.71649248028	239.9062513527952	-25102.57012190959
1011.602218661096	-89.44064229938256	-89.46569180744876	25107.89875703859	234.1387389579121	-25106.807026076
